commentId,videoId,videoUrl,commenterUsername,commenterNickname,commenterUid,commentText,likes,replyCount,commentDate,scrapeDate
"7584044097415054097","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","kafah.71","H suka matcha🤭😈","7434107357343089672","hah kalimantan perasaan disini gk ada mbg","0","0","2025-12-15T11:24:40.000Z","2026-04-10T03:05:41.984Z"
"7583974329239946002","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","bigbabol068","ABDUL GOFAR 🖕🖕","6913517208086660097","bego","0","0","2025-12-15T06:53:52.000Z","2026-04-10T03:05:41.984Z"
"7583967266673902337","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","dublelmc001","BLELZZ🤫🧏","7575834776200889360","ksos","0","0","2025-12-15T06:26:36.000Z","2026-04-10T03:05:41.984Z"
"7583555519522341639","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","ytta71932","ci dipanggil nengok","7573821452751979527","sekolah ku juga ikan hiu","0","0","2025-12-14T03:48:44.000Z","2026-04-10T03:05:41.984Z"
"7583323301151507216","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","yuniaicha","@ BSK Riko Rrrr","6927287155925419014","asal tebak je😏","0","0","2025-12-13T12:47:35.000Z","2026-04-10T03:05:41.984Z"
"7583296188133704466","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","apaloluat2","🙌मीरा बंद है🙌","7557955752289600520","bukti👎","0","0","2025-12-13T11:02:22.000Z","2026-04-10T03:05:41.984Z"
"7582990030457701127","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","fauzan.as2","CYBORG IBLIS","7471166212426744850","hiu be like=takotnya","0","0","2025-12-12T15:14:14.000Z","2026-04-10T03:05:41.984Z"
"7582987117384385298","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","user210233766","fansnya pipin","7487072157861020673","aku pernah dapat ikan hiu terus aku makan tiba tiba aku pusing sama mual tapi yang paling anehnya semua kelas 6 kok nggak keracunan habis makan Ikan hiu","0","0","2025-12-12T15:03:00.000Z","2026-04-10T03:05:41.984Z"
"7582898311410516743","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","id2_cahbok","ID1","7563595517256385543","kasian lihatnya","0","0","2025-12-12T09:18:23.000Z","2026-04-10T03:05:41.984Z"
"7582844123272446728","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","akucintavalen1","💥⚡💥ABR    AUDIO💥💥⚡","7428811750852641793","nnnnn😁😁😁","0","0","2025-12-12T05:48:07.000Z","2026-04-10T03:05:41.984Z"
